thisRow.t,notes,trial_num,participant,session,phase,cue_color,target_difficulty,trial_index_within_staircase,prop_used,stimulus_logit,staircase_id,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,quest_alpha_mean,quest_alpha_sd,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,angle_bias,applied_angle_bias,trials_completed_this_staircase,alpha_sd_current,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,difficulty_type,trial_index_within_type,threshold_source,s_threshold_60pct,s_threshold_80pct,cue_difficulty_prediction,actual_difficulty_level,target_percentage,confidence_rating,agency_rating,s_threshold_70pct,participant,session,learning_order,counterbalance_index,
,,16,1996s,001,calibration_interleaved,black,unknown,8,0.40766968306220214,-0.37360720091511007,90,1,False,3.0550486999563873,True,dot,dot,nan,0.619499703826113,nan,nan,nan,nan,90,-90,8,0.619499703826113,5.116540211442763,946.5599391169112,160.41358303119472,185,185,5.116540211442763,946.5599391169112,160.41358303119472,946.5599391169112,1042.273891536698,-1.1764631975173878,1042.273891536698,0.6108108108108108,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,17,1996s,001,calibration_interleaved,black,unknown,9,0.5350820483873121,0.14055915473515587,0,1,False,1.3556278999894857,True,dot,dot,nan,0.5777805117539624,nan,nan,nan,nan,0,0,9,0.5777805117539624,11.730467761029956,973.6288241654863,107.17853402749978,83,83,11.730467761029956,973.6288241654863,107.17853402749978,973.6288241654863,973.6288241654865,-28.78899328971091,973.6288241654865,0.8192771084337349,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,18,1996s,001,calibration_interleaved,black,unknown,9,0.347354013008391,-0.6306903787402434,90,1,False,3.3876318999100477,True,square,square,nan,0.5808074581136354,nan,nan,nan,nan,90,90,9,0.5808074581136354,4.056464466515033,831.5752156355818,338.2419548340066,205,205,4.056464466515033,831.5752156355818,338.2419548340066,831.5752156355818,1119.399078268836,-276.4790085657536,1119.399078268836,0.5804878048780487,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,19,1996s,001,calibration_interleaved,black,unknown,10,0.47090191089840744,-0.11652402308997703,0,1,False,2.7543103999923915,True,square,square,nan,0.573725266763189,nan,nan,nan,nan,0,0,10,0.573725266763189,11.523061100052551,1924.351203708776,324.66595105783847,167,167,11.523061100052551,1924.351203708776,324.66595105783847,1924.351203708776,1924.5790668546879,-32.09061918258538,1924.5790668546879,0.6526946107784432,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,20,1996s,001,calibration_interleaved,black,unknown,10,0.29156950079727495,-0.887773556565376,90,0,False,3.6541073999833316,True,dot,square,-0.7899302699442117,0.5665858924957956,3.2709965360255535,2.0526945755221107,0.025696003792107062,0.02144654372568954,90,-90,10,0.5665858924957956,3.704529787576557,818.7010830544191,350.7297984260132,221,221,3.704529787576557,818.7010830544191,350.7297984260132,818.7010830544191,819.1551946398267,-296.29670476222344,819.1551946398267,0.5429864253393665,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,21,1996s,001,calibration_interleaved,black,unknown,11,0.47090191089840744,-0.11652402308997703,0,1,False,3.805564600042999,True,dot,dot,nan,0.566328643917705,nan,nan,nan,nan,0,0,11,0.566328643917705,8.792214247381665,2022.2092768977827,268.9870913395392,230,230,8.792214247381665,2022.2092768977827,268.9870913395392,2022.2092768977827,2138.276408778307,23.921106160649973,2138.276408778307,0.6173913043478261,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,22,1996s,001,calibration_interleaved,black,unknown,11,0.47090191089840744,-0.11652402308997703,90,1,False,2.7389411001931876,True,square,square,nan,0.5203071300267014,nan,nan,nan,nan,90,-90,11,0.5203071300267014,7.453415088800187,1237.266904740831,342.0854995844946,166,166,7.453415088800187,1237.266904740831,342.0854995844946,1237.266904740831,1316.827426143904,-14.831410401021355,1316.827426143904,0.5783132530120482,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,23,1996s,001,calibration_interleaved,black,unknown,12,0.40766968306220214,-0.37360720091511007,0,1,False,2.93881110008806,True,dot,dot,nan,0.5698509465571707,nan,nan,nan,nan,0,0,12,0.5698509465571707,7.053470425053237,1262.5712060845294,148.41766757530704,179,179,7.053470425053237,1262.5712060845294,148.41766757530704,1262.5712060845294,1263.7300518175011,-50.11818681373495,1263.7300518175011,0.6145251396648045,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,24,1996s,001,calibration_interleaved,black,unknown,12,0.40766968306220214,-0.37360720091511007,90,1,False,3.137955999933183,True,dot,dot,nan,0.48478777160374065,nan,nan,nan,nan,90,-90,12,0.48478777160374065,1.6145067532365047,306.7562831149359,212.37141025153375,190,190,1.6145067532365047,306.7562831149359,212.37141025153375,306.7562831149359,378.1207850345529,-223.1863291076789,378.1207850345529,0.3526315789473684,,,,,,,,,,,,1996s,001,"[90, 0]",3,
,,25,1996s,001,calibration_interleaved,black,unknown,13,0.40766968306220214,-0.37360720091511007,0,1,False,3.153777200030163,True,dot,dot,nan,0.569330869274701,nan,nan,nan,nan,0,0,13,0.569330869274701,5.325023399485329,1017.0794693016978,237.94130337595558,191,191,5.325023399485329,1017.0794693016978,237.94130337595558,1017.0794693016978,1116.3745948135384,-39.001620017271776,1116.3745948135384,0.5287958115183246,,,,,,,,,,,,1996s,001,"[90, 0]",3,
